filename_base,task_id,source,misjudgement,answer,llm_answer,evaluated,data_id,difficulty,problem_text_length,solution_text_length,prompt_perplexity,statement_gunning_fog_index,statement_flesch_kincaid_grade,api_calls,actual_verdict,File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time,module,pylint_total_issues,pylint_convention,pylint_error,pylint_refactor,pylint_warning,File,complexity_sum,bandit_total_issues,bandit_unique_severities,bandit_unique_confidences
code_task_2_data_starcoder,2,starcoder,False,C,C,C,13,1,761,128,1.0000006704275366,7.4012121212121205,5.64890909090909,4,WA,code_task_2_data_starcoder.py,12,9,9,0,0,66.76038882988756,5,5,10,5,10,15,10,49.82892142331044,5.0,249.1446071165522,0.0166096404744368,13.841367062030676,code_task_2_data_starcoder,1.0,1.0,0.0,0.0,0.0,code_task_2_data_starcoder.py,5,0.0,0.0,0.0
code_task_2_data_gemini,2,gemini,False,C,C,C,14,1,761,257,1.0003357569599831,7.4012121212121205,5.64890909090909,4,WA,code_task_2_data_gemini.py,17,16,16,0,0,63.105750114348254,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.0084220647661728,3.158274287314805,code_task_2_data_gemini,1.0,1.0,0.0,0.0,0.0,code_task_2_data_gemini.py,13,0.0,0.0,0.0
code_task_2_data_gemma,2,gemma,True,B,C,B,15,1,761,153,1.000000908835049,7.4012121212121205,5.64890909090909,0,CE,code_task_2_data_gemma.py,11,11,11,0,0,63.06381695341094,2,10,12,8,16,24,12,86.03910001730776,1.6,137.66256002769242,0.0286797000057692,7.647920001538468,code_task_2_data_gemma,1.0,0.0,1.0,0.0,0.0,code_task_2_data_gemma.py,5,0.0,0.0,0.0
code_task_2_data_wizardcoder,2,wizardcoder,False,C,C,C,16,1,761,200,1.0000583667031286,7.4012121212121205,5.64890909090909,11,WA,code_task_2_data_wizardcoder.py,10,6,6,0,1,71.81380425592978,4,6,10,4,7,11,10,36.541209043760986,2.3333333333333335,85.26282110210897,0.0121804030145869,4.736823394561609,code_task_2_data_wizardcoder,3.0,3.0,0.0,0.0,0.0,code_task_2_data_wizardcoder.py,0,0.0,0.0,0.0
code_task_3_data_gpt3.5,3,gpt3.5,False,C,C,C,17,1,1062,599,1.0000023392813167,10.072727272727274,7.961909090909092,13,WA,code_task_3_data_gpt3.5.py,21,17,16,0,6,60.683955837863586,2,7,9,5,9,14,9,44.37895002019238,1.2857142857142858,57.05865002596163,0.0147929833400641,3.169925001442313,code_task_3_data_gpt3.5,8.0,5.0,0.0,0.0,3.0,code_task_3_data_gpt3.5.py,15,0.0,0.0,0.0
code_task_3_data_deepseekcoder,3,deepseekcoder,False,B,C,C,18,1,1062,162,1.0004332663395044,10.072727272727274,7.961909090909092,0,WA,code_task_3_data_deepseekcoder.py,12,0,0,9,0,100.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,code_task_3_data_deepseekcoder.py,0,0.0,0.0,0.0
code_task_3_data_gpt4,3,gpt4,False,C,C,C,19,1,1062,535,1.0000171206803692,10.072727272727274,7.961909090909092,18,WA,code_task_3_data_gpt4.py,15,15,14,0,0,55.67232786835659,4,20,24,23,45,68,24,311.7774500490387,4.5,1402.998525220674,0.1039258166830129,77.94436251225967,code_task_3_data_gpt4,1.0,1.0,0.0,0.0,0.0,code_task_3_data_gpt4.py,5,0.0,0.0,0.0
code_task_4_data_wenxin,4,wenxin,False,C,C,C,21,1,1529,452,1.0000391739773782,8.39106529209622,6.326683848797252,9,WA,code_task_4_data_wenxin.py,17,12,12,0,3,61.26142541512796,6,14,20,10,20,30,20,129.65784284662087,4.285714285714286,555.6764693426609,0.0432192809488736,30.87091496348116,code_task_4_data_wenxin,6.0,3.0,0.0,0.0,3.0,code_task_4_data_wenxin.py,3,0.0,0.0,0.0
code_task_4_data_gpt4,4,gpt4,False,A,A,A,22,1,1529,316,1.000010564387008,8.39106529209622,6.326683848797252,8,AC,code_task_4_data_gpt4.py,16,14,14,0,4,60.222332677887074,4,12,16,9,18,27,16,108.0,3.0,324.0,0.036,18.0,code_task_4_data_gpt4,5.0,2.0,0.0,0.0,3.0,code_task_4_data_gpt4.py,5,0.0,0.0,0.0
code_task_4_data_Mixtral,4,Mixtral,False,C,C,C,23,1,1529,425,1.0000454920388613,8.39106529209622,6.326683848797252,6,WA,code_task_4_data_Mixtral.py,11,9,9,0,6,61.802907919446405,8,23,31,16,31,47,31,232.84722658818316,5.391304347826087,1255.3502650841178,0.077615742196061,69.7416813935621,code_task_4_data_Mixtral,7.0,4.0,0.0,0.0,3.0,code_task_4_data_Mixtral.py,5,0.0,0.0,0.0
code_task_5_data_gpt4,5,gpt4,False,A,A,A,25,1,1965,220,1.0000085379052277,14.8484081471228,11.79311053984576,11,AC,code_task_5_data_gpt4.py,10,9,9,0,0,62.864253050424686,4,13,17,14,28,42,17,171.67343933251428,4.3076923076923075,739.5163540477538,0.0572244797775047,41.08424189154188,code_task_5_data_gpt4,1.0,1.0,0.0,0.0,0.0,code_task_5_data_gpt4.py,5,0.0,0.0,0.0
code_task_5_data_Mixtral,5,Mixtral,False,C,C,C,26,1,1965,1232,1.0000167630628127,14.8484081471228,11.79311053984576,10,WA,code_task_5_data_Mixtral.py,48,27,26,5,8,80.80243896106946,5,8,13,18,36,54,13,199.82374477961895,11.25,2248.0171287707135,0.0666079149265396,124.88984048726186,code_task_5_data_Mixtral,14.0,5.0,1.0,0.0,8.0,code_task_5_data_Mixtral.py,14,0.0,0.0,0.0
code_task_5_data_codellama,5,codellama,False,C,C,C,28,1,1965,255,1.000099495215032,14.8484081471228,11.79311053984576,12,WA,code_task_5_data_codellama.py,20,14,14,0,0,59.01562301163107,6,9,15,12,24,36,15,140.64806144190666,8.0,1125.1844915352533,0.0468826871473022,62.51024952973629,code_task_5_data_codellama,6.0,1.0,0.0,5.0,0.0,code_task_5_data_codellama.py,6,0.0,0.0,0.0
code_task_5_data_wizardcoder,5,wizardcoder,False,B,B,B,29,1,1965,131,1.2865052865177118,14.8484081471228,11.79311053984576,0,CE,code_task_5_data_wizardcoder.py,6,4,4,0,0,73.69986683945504,2,9,11,7,14,21,11,72.64806399138325,1.5555555555555556,113.00809954215173,0.024216021330461,6.2782277523417624,code_task_5_data_wizardcoder,1.0,0.0,1.0,0.0,0.0,code_task_5_data_wizardcoder.py,0,0.0,0.0,0.0
code_task_6_data_wizardcoder,6,wizardcoder,False,C,C,C,31,1,2047,451,1.0009118790267986,9.860425531914894,7.088276595744684,15,WA,code_task_6_data_wizardcoder.py,23,22,22,0,5,56.1040165460563,5,7,12,9,16,25,12,89.62406251802891,5.714285714285714,512.1375001030224,0.0298746875060096,28.4520833390568,code_task_6_data_wizardcoder,7.0,3.0,0.0,0.0,4.0,code_task_6_data_wizardcoder.py,5,0.0,0.0,0.0
code_task_6_data_gpt4,6,gpt4,True,A,C,A,32,1,2047,361,1.0183909936170437,9.860425531914894,7.088276595744684,13,AC,code_task_6_data_gpt4.py,15,14,14,0,0,60.202595663565894,5,11,16,9,17,26,16,104.0,3.863636363636364,401.8181818181818,0.0346666666666666,22.32323232323232,code_task_6_data_gpt4,1.0,1.0,0.0,0.0,0.0,code_task_6_data_gpt4.py,7,0.0,0.0,0.0
code_task_6_data_gpt3.5,6,gpt3.5,False,C,C,C,33,1,2047,491,1.0000361937747193,9.860425531914894,7.088276595744684,14,WA,code_task_6_data_gpt3.5.py,20,16,16,0,0,59.310387192433055,6,10,16,8,15,23,16,92.0,4.5,414.0,0.0306666666666666,23.0,code_task_6_data_gpt3.5,2.0,2.0,0.0,0.0,0.0,code_task_6_data_gpt3.5.py,10,0.0,0.0,0.0
code_task_6_data_starcoder,6,starcoder,False,C,C,C,34,1,2047,462,1.000010206772706,9.860425531914894,7.088276595744684,17,WA,code_task_6_data_starcoder.py,20,18,18,0,0,59.31238506459969,5,7,12,6,11,17,12,60.94436251225966,3.928571428571429,239.42428129816292,0.0203147875040865,13.301348961009053,code_task_6_data_starcoder,1.0,1.0,0.0,0.0,0.0,code_task_6_data_starcoder.py,8,0.0,0.0,0.0
code_task_6_data_Mixtral,6,Mixtral,False,C,C,C,35,1,2047,503,1.0001584976282452,9.860425531914894,7.088276595744684,14,WA,code_task_6_data_Mixtral.py,22,20,20,0,5,58.31423281099922,5,7,12,6,11,17,12,60.94436251225966,3.928571428571429,239.42428129816292,0.0203147875040865,13.301348961009053,code_task_6_data_Mixtral,7.0,3.0,0.0,0.0,4.0,code_task_6_data_Mixtral.py,6,0.0,0.0,0.0
code_task_6_data_claude3,6,claude3,False,C,C,C,36,1,2047,729,1.0000168822686506,9.860425531914894,7.088276595744684,19,WA,code_task_6_data_claude3.py,28,24,24,0,7,55.49063710412813,6,10,16,7,13,20,16,80.0,3.9,312.0,0.0266666666666666,17.333333333333332,code_task_6_data_claude3,3.0,2.0,0.0,0.0,1.0,code_task_6_data_claude3.py,11,0.0,0.0,0.0
code_task_7_data_claude3,7,claude3,False,C,C,C,37,1,2885,169,1.0001130858781617,6.501424501424502,4.822222222222223,3,WA,code_task_7_data_claude3.py,13,10,10,0,0,66.03916913346302,3,6,9,5,10,15,9,47.548875021634686,2.5,118.87218755408672,0.0158496250072115,6.604010419671484,code_task_7_data_claude3,2.0,1.0,0.0,1.0,0.0,code_task_7_data_claude3.py,3,0.0,0.0,0.0
code_task_7_data_starcoder,7,starcoder,False,C,C,C,38,1,2885,1157,1.0000130676934331,6.501424501424502,4.822222222222223,6,WA,code_task_7_data_starcoder.py,33,17,17,9,0,85.73658090977723,9,15,24,12,24,36,24,165.05865002596164,7.2,1188.422280186924,0.0550195500086538,66.02346001038467,code_task_7_data_starcoder,3.0,3.0,0.0,0.0,0.0,code_task_7_data_starcoder.py,8,0.0,0.0,0.0
code_task_7_data_llama,7,llama,False,C,C,C,39,1,2885,484,1.0000167630628127,6.501424501424502,4.822222222222223,5,WA,code_task_7_data_llama.py,20,9,9,7,0,95.05392669046115,4,7,11,5,10,15,11,51.89147427955947,2.857142857142857,148.26135508445563,0.0172971580931864,8.236741949136423,code_task_7_data_llama,4.0,4.0,0.0,0.0,0.0,code_task_7_data_llama.py,3,0.0,0.0,0.0
code_task_7_data_gpt4,7,gpt4,False,C,C,C,40,1,2885,297,1.000010206772706,6.501424501424502,4.822222222222223,5,WA,code_task_7_data_gpt4.py,13,11,11,0,3,61.39265469060653,7,16,23,12,24,36,23,162.84823041805248,5.25,854.9532096947755,0.0542827434726841,47.49740053859864,code_task_7_data_gpt4,4.0,2.0,0.0,0.0,2.0,code_task_7_data_gpt4.py,4,0.0,0.0,0.0
code_task_8_data_qwen,8,qwen,False,C,C,C,41,1,2479,556,1.0003355221005812,12.166374900534274,9.256232806638629,14,WA,code_task_8_data_qwen.py,19,14,14,0,10,54.75104776239891,8,46,54,29,58,87,54,500.6752126882218,5.043478260869565,2525.144550949293,0.1668917375627406,140.28580838607184,code_task_8_data_qwen,6.0,4.0,0.0,1.0,1.0,code_task_8_data_qwen.py,11,0.0,0.0,0.0
code_task_8_data_wenxin,8,wenxin,False,C,C,C,42,1,2479,681,1.001930493621358,12.166374900534274,9.256232806638629,7,WA,code_task_8_data_wenxin.py,21,12,12,6,9,91.39164631845053,4,11,15,6,12,18,15,70.32403072095333,2.1818181818181817,153.43424884571635,0.0234413435736511,8.52412493587313,code_task_8_data_wenxin,2.0,2.0,0.0,0.0,0.0,code_task_8_data_wenxin.py,7,0.0,0.0,0.0
code_task_8_data_wizardcoder,8,wizardcoder,False,C,C,C,43,1,2479,839,1.000035478526093,12.166374900534274,9.256232806638629,16,WA,code_task_8_data_wizardcoder.py,29,25,25,0,15,49.365406782027065,5,36,41,28,51,79,41,423.2466083648286,3.5416666666666665,1498.998404625435,0.1410822027882762,83.27768914585748,code_task_8_data_wizardcoder,8.0,8.0,0.0,0.0,0.0,code_task_8_data_wizardcoder.py,15,0.0,0.0,0.0
code_task_9_data_wenxin,9,wenxin,False,C,C,C,45,1,3095,1229,1.0000131868988307,8.25834839733698,6.425021824434548,14,WA,code_task_9_data_wenxin.py,40,29,29,2,20,61.376029494627936,6,40,46,34,65,99,46,546.8326336496443,4.875,2665.809089042016,0.1822775445498814,148.10050494677867,code_task_9_data_wenxin,38.0,7.0,0.0,7.0,24.0,code_task_9_data_wenxin.py,18,0.0,0.0,0.0
code_task_9_data_qwen,9,qwen,False,C,C,C,47,1,3095,1119,1.0000048425671522,8.25834839733698,6.425021824434548,17,WA,code_task_9_data_qwen.py,39,24,28,4,5,76.29732004310618,5,7,12,8,15,23,12,82.4541375165866,5.357142857142857,441.71859383885675,0.0274847125055288,24.53992187993649,code_task_9_data_qwen,12.0,2.0,0.0,2.0,8.0,code_task_9_data_qwen.py,5,0.0,0.0,0.0
code_task_9_data_chatglm,9,chatglm,False,C,C,C,48,1,3095,1548,1.000007941882063,8.25834839733698,6.425021824434548,17,WA,code_task_9_data_chatglm.py,45,33,33,6,15,68.73762520913647,6,24,30,31,61,92,30,451.4339347959837,7.625,3442.1837528193755,0.1504779782653279,191.23243071218752,code_task_9_data_chatglm,23.0,5.0,0.0,6.0,12.0,code_task_9_data_chatglm.py,40,0.0,0.0,0.0
code_task_10_data_starcoder,10,starcoder,False,C,C,C,49,1,879,252,1.000000908835049,12.337662337662339,9.264675324675327,3,WA,code_task_10_data_starcoder.py,11,4,4,3,0,100.0,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.0084220647661728,3.158274287314805,code_task_10_data_starcoder,1.0,1.0,0.0,0.0,0.0,code_task_10_data_starcoder.py,0,0.0,0.0,0.0
code_task_10_data_chatglm,10,chatglm,False,C,C,C,50,1,879,214,1.0002035611043616,12.337662337662339,9.264675324675327,6,WA,code_task_10_data_chatglm.py,9,7,7,0,1,69.68720076609898,3,6,9,5,10,15,9,47.548875021634686,2.5,118.87218755408672,0.0158496250072115,6.604010419671484,code_task_10_data_chatglm,5.0,2.0,2.0,0.0,1.0,code_task_10_data_chatglm.py,0,0.0,0.0,0.0
code_task_10_data_codegeex,10,codegeex,False,C,C,C,51,1,879,200,1.0000023392813167,12.337662337662339,9.264675324675327,5,WA,code_task_10_data_codegeex.py,13,10,10,0,0,65.77340237984626,3,8,11,5,10,15,11,51.89147427955947,1.875,97.296514274174,0.0172971580931864,5.405361904120777,code_task_10_data_codegeex,2.0,2.0,0.0,0.0,0.0,code_task_10_data_codegeex.py,4,0.0,0.0,0.0
code_task_11_data_deepseekcoder,11,deepseekcoder,True,A,C,A,52,1,1095,440,1.0058016886598315,9.406082289803221,6.556744186046512,6,AC,code_task_11_data_deepseekcoder.py,15,13,13,0,1,60.77213192722661,4,16,20,10,20,30,20,129.65784284662087,2.5,324.14460711655215,0.0432192809488736,18.00803372869734,code_task_11_data_deepseekcoder,3.0,3.0,0.0,0.0,0.0,code_task_11_data_deepseekcoder.py,0,0.0,0.0,0.0
code_task_11_data_magiccoder,11,magiccoder,False,C,C,C,53,1,1095,383,1.000010206772706,9.406082289803221,6.556744186046512,6,WA,code_task_11_data_magiccoder.py,13,12,12,0,6,60.06008379218588,4,16,20,13,26,39,20,168.55519570060713,3.25,547.8043860269731,0.0561850652335357,30.433577001498502,code_task_11_data_magiccoder,9.0,3.0,0.0,0.0,6.0,code_task_11_data_magiccoder.py,6,0.0,0.0,0.0
code_task_11_data_gpt3.5,11,gpt3.5,False,C,C,C,54,1,1095,316,1.000067069115937,9.406082289803221,6.556744186046512,5,WA,code_task_11_data_gpt3.5.py,12,9,9,0,1,63.966008244798346,4,16,20,11,22,33,20,142.62362713128297,2.75,392.2149746110282,0.0475412090437609,21.78972081172379,code_task_11_data_gpt3.5,9.0,4.0,0.0,0.0,5.0,code_task_11_data_gpt3.5.py,0,0.0,0.0,0.0
code_task_11_data_codellama,11,codellama,False,C,C,C,55,1,1095,237,1.0000011472426182,9.406082289803221,6.556744186046512,7,WA,code_task_11_data_codellama.py,10,7,7,0,3,68.59800003860587,4,7,11,6,12,18,11,62.26976913547136,3.4285714285714284,213.4963513216161,0.0207565897118237,11.860908406756447,code_task_11_data_codellama,8.0,2.0,0.0,1.0,5.0,code_task_11_data_codellama.py,4,0.0,0.0,0.0
code_task_11_data_qwen,11,qwen,False,C,C,C,56,1,1095,605,1.0040879224736547,9.406082289803221,6.556744186046512,10,WA,code_task_11_data_qwen.py,22,17,17,0,3,56.404990861012095,6,22,28,15,30,45,28,216.33097149259217,4.090909090909091,884.9903379242406,0.072110323830864,49.16612988468003,code_task_11_data_qwen,10.0,3.0,0.0,0.0,7.0,code_task_11_data_qwen.py,1,0.0,0.0,0.0
code_task_11_data_gemma,11,gemma,True,B,C,B,57,1,1095,169,1.0000749371165865,9.406082289803221,6.556744186046512,0,CE,code_task_11_data_gemma.py,10,10,10,0,0,61.56198306988336,4,16,20,14,28,42,20,181.52097998526924,3.5,635.3234299484424,0.060506993328423,35.295746108246796,code_task_11_data_gemma,1.0,0.0,1.0,0.0,0.0,code_task_11_data_gemma.py,6,0.0,0.0,0.0
code_task_11_data_wizardcoder,11,wizardcoder,False,C,C,C,58,1,1095,199,1.000002935301142,9.406082289803221,6.556744186046512,4,WA,code_task_11_data_wizardcoder.py,9,6,6,0,0,68.049086420719,4,13,17,9,18,27,17,110.36149671375918,2.769230769230769,305.6164524381023,0.036787165571253,16.978691802116796,code_task_11_data_wizardcoder,2.0,2.0,0.0,0.0,0.0,code_task_11_data_wizardcoder.py,7,0.0,0.0,0.0
code_task_12_data_gpt4,12,gpt4,True,C,A,C,59,1,1518,700,1.0387851826302643,10.613230373230373,8.684540540540542,12,WA,code_task_12_data_gpt4.py,39,31,31,0,0,45.377710437182934,8,37,45,47,93,140,45,768.8594334861544,10.054054054054054,7730.154304239175,0.2562864778287181,429.4530169021764,code_task_12_data_gpt4,2.0,1.0,0.0,1.0,0.0,code_task_12_data_gpt4.py,20,0.0,0.0,0.0
code_task_12_data_qwen,12,qwen,False,C,C,C,60,1,1518,1060,1.0002613699886067,10.613230373230373,8.684540540540542,12,WA,code_task_12_data_qwen.py,40,27,27,4,9,74.12639927409772,7,11,18,10,17,27,18,112.58797503894245,5.409090909090909,608.9985922560977,0.0375293250129808,33.83325512533876,code_task_12_data_qwen,6.0,4.0,0.0,0.0,2.0,code_task_12_data_qwen.py,15,0.0,0.0,0.0
code_task_12_data_gemma,12,gemma,False,C,C,C,61,1,1518,161,1.0,10.613230373230373,8.684540540540542,6,WA,code_task_12_data_gemma.py,13,13,13,0,0,64.26521750242769,3,5,8,4,8,12,8,36.0,2.4,86.39999999999999,0.012,4.8,code_task_12_data_gemma,2.0,2.0,0.0,0.0,0.0,code_task_12_data_gemma.py,6,0.0,0.0,0.0
code_task_12_data_claude3,12,claude3,False,C,C,C,62,1,1518,968,1.000000432020081,10.613230373230373,8.684540540540542,8,WA,code_task_12_data_claude3.py,36,30,30,0,0,51.01036411423086,6,12,18,12,23,35,18,145.94737505048093,5.75,839.1974065402653,0.0486491250168269,46.622078141125854,code_task_12_data_claude3,4.0,1.0,0.0,3.0,0.0,code_task_12_data_claude3.py,40,0.0,0.0,0.0
code_task_13_data_codellama,13,codellama,False,C,C,C,64,1,2398,535,1.000007941882063,11.593164530582476,8.854254454517037,20,WA,code_task_13_data_codellama.py,29,22,22,0,3,59.97615926186312,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0,code_task_13_data_codellama,5.0,2.0,0.0,0.0,3.0,code_task_13_data_codellama.py,2,0.0,0.0,0.0
code_task_13_data_gpt3.5,13,gpt3.5,False,C,C,C,65,1,2398,550,1.0000487106884797,11.593164530582476,8.854254454517037,18,WA,code_task_13_data_gpt3.5.py,28,24,23,0,3,54.80170605422838,6,10,16,9,15,24,16,96.0,4.5,432.0,0.032,24.0,code_task_13_data_gpt3.5,3.0,3.0,0.0,0.0,0.0,code_task_13_data_gpt3.5.py,3,0.0,0.0,0.0
code_task_13_data_llama,13,llama,False,C,C,C,66,1,2398,875,1.0009121177210758,11.593164530582476,8.854254454517037,11,WA,code_task_13_data_llama.py,32,13,13,10,5,93.36119223895716,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7,code_task_13_data_llama,5.0,2.0,1.0,0.0,2.0,code_task_13_data_llama.py,6,0.0,0.0,0.0
code_task_14_data_codellama,14,codellama,False,C,C,C,67,1,2443,287,1.0001584976282452,13.18266094420601,10.791849785407727,15,WA,code_task_14_data_codellama.py,20,16,16,0,0,65.60498034639333,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456,0.6449800263576005,code_task_14_data_codellama,1.0,1.0,0.0,0.0,0.0,code_task_14_data_codellama.py,7,0.0,0.0,0.0
code_task_14_data_deepseekcoder,14,deepseekcoder,False,C,C,C,68,1,2443,456,1.000010206772706,13.18266094420601,10.791849785407727,13,WA,code_task_14_data_deepseekcoder.py,20,19,18,0,6,56.55697064814092,6,13,19,11,19,30,19,127.43782540330756,4.384615384615385,558.7658498452716,0.0424792751344358,31.042547213626204,code_task_14_data_deepseekcoder,7.0,2.0,0.0,1.0,4.0,code_task_14_data_deepseekcoder.py,9,0.0,0.0,0.0
code_task_14_data_gemma,14,gemma,False,C,C,C,69,1,2443,342,1.0000749371165865,13.18266094420601,10.791849785407727,16,WA,code_task_14_data_gemma.py,19,19,19,0,0,58.958412165864885,4,7,11,6,10,16,11,55.35090589819677,2.857142857142857,158.14544542341932,0.0184503019660655,8.785858079078851,code_task_14_data_gemma,4.0,2.0,0.0,2.0,0.0,code_task_14_data_gemma.py,10,0.0,0.0,0.0
code_task_14_data_wenxin,14,wenxin,False,C,C,C,70,1,2443,900,1.000002935301142,13.18266094420601,10.791849785407727,15,WA,code_task_14_data_wenxin.py,30,19,18,5,9,82.1411063659203,6,13,19,11,20,31,19,131.68575291675114,4.615384615384615,607.780398077313,0.0438952509722503,33.76557767096183,code_task_14_data_wenxin,7.0,3.0,0.0,0.0,4.0,code_task_14_data_wenxin.py,7,0.0,0.0,0.0
code_task_15_data_qwen,15,qwen,False,C,C,C,71,1,1360,130,1.0000041273418583,13.417931034482757,10.903689655172418,4,WA,code_task_15_data_qwen.py,6,5,5,0,0,69.94963840190617,7,11,18,8,17,25,18,104.2481250360578,5.409090909090909,563.8875854223127,0.0347493750120192,31.327088079017372,code_task_15_data_qwen,1.0,1.0,0.0,0.0,0.0,code_task_15_data_qwen.py,4,0.0,0.0,0.0
code_task_15_data_chatglm,15,chatglm,False,C,C,C,72,1,1360,88,1.0000001936126681,13.417931034482757,10.903689655172418,4,WA,code_task_15_data_chatglm.py,7,5,5,0,0,79.7423427057672,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211,0.1320802083934297,code_task_15_data_chatglm,1.0,1.0,0.0,0.0,0.0,code_task_15_data_chatglm.py,2,0.0,0.0,0.0
